OrgCode,College,TwoOrFourYear
005801,Aarts Operations Ctr,False
006001,Abilene Christian University,False
005001,Abraham Baldwin Coll,False
001981,Academy Art College,False
004001,Adams State Univeristy,False
005002,Agnes Scott College,False
$00001,Ai Miami Intl University of Art & Design,False
005037,Aiken Technical College,False
**AL,Al al-Bayt University -Jordan,False
001644,Alabama Sthrn Cmty C,False
005005,Alderson-Broaddus College,False
005006,Allen University,False
001012,Alverno College,False
006006,Amarillo College,False
004987,American Armn Intl C,False
003856,American Institute of El Salvador,False
002486,American Intercontinental University,False
**0015,American Public University System,False
004004,American River Coll,False
002688,American University in Dubai,False
003003,Amherst College,False
001015,Ancilla College,False
001016,Anderson University,False
005008,Anderson University,False
005009,Andrew College,False
006025,Angelina Coll,False
999901,Anhui Medical University,False
005019,Anne Arundel C C,False
005010,Appalachian St Univ,False
001420,Arizona State Univ,False
000782,Arkansas St U Beebe,False
006010,Arkansas Tech Univ,False
**AASU,Armstrong Atlantic State University,False
005429,Art Institute Atlnta,False
**ART,Art Institute of California-Hollywood,False
005583,Art Institute of Charleston,False
003834,Art Institute of Charlotte,False
002029,Art Institute Pittsb,False
000469,Artic Sivunmun Ilsgv,False
005033,Asheville Buncombe Tech,False
001021,Ashland University,False
007354,Athabasca University,False
000462,Athens Technical College,False
001005,Auburn University,False
005336,Augusta College,False
**ASTU,Augusta State University,False
006759,Austin Cmty Coll Tx,False
001028,Austin Peay St Univ,False
000806,Baker Coll Flint,False
001050,Baldwin-Wallace Coll,False
001051,Ball State Univ,False
005051,Baltimore City Cc,False
001052,Barat Coll,False
002037,Bard Coll,False
002038,Barnard C Columbia U,False
000784,Barton Co Cmty Coll,False
005070,Bauder College,False
**Germ,Bavarian State Ministry,False
**BACM,Baylor College of Medicine,False
002039,Beaver Coll,False
006053,Bellevue University,False
005055,Belmont Abbey Coll,False
001058,Belmont University,False
005056,Benedict College,False
005058,Bennett College Nc,False
002032,Bergen Cmty Coll,False
003107,Berklee Coll Music,False
004021,Bethany College,False
001079,Bethel College In,False
000723,Bevill St Cc Brewer,False
000213,Bevill St Cc Walker,False
004024,Big Bend Cmty Coll,False
001064,Birminghm-Sthrn Coll,False
006043,Blinn College,False
002646,Bloomsburg Univ Pa,False
005083,Blue Ridge Cmty Coll,False
005644,Blue Ridge Cmty Coll,False
005064,Bluefield St Coll,False
005065,Bob Jones University,False
002691,Borough Manhattn C C,False
000787,Bossier Parish Cc,False
001069,Bowling Green State University,False
005066,Brenau Univ,False
005067,Brevard College,False
005069,Bridgewater Coll,False
004019,Brigham Young U Ut,False
002181,Brookdale Cmty Coll,False
006070,Brookhaven College,False
005074,Broward Cc Ft Lauder,False
005735,Broward Community Co,False
005036,"Broward Community College, Central",False
001908,Bryan College,False
002066,Bucks Co Cmty Coll,False
002533,Buffalo State Coll,False
002180,Burlington Co Coll,False
006191,Butler Co Cmty Coll,False
001073,Butler University,False
004136,C C Southern Nevada,False
007102,Cad Institute,False
999996,CAEL,False
004671,Cal St U Sacramento,False
005146,Caldwell C C Tech In,False
002072,Caldwell Coll,False
001356,Calhoun Cmty Coll,False
004094,Calif Baptist Coll,False
**CALU,California Lutheran College,False
002647,California Univ Pa,False
002121,Camden Co Coll,False
005100,Campbell University,False
003289,Cape Cod Cmty Coll,False
005094,Cape Fear Cmty Coll,False
*00017,Capella University,False
005797,Carroll Cmty College,False
001102,Carson-Newman University,False
005098,Catawba Vly Cmty Clg,False
008308,Cecil Cmty Coll,False
000740,Central Appl Centre,False
005665,Central Carolina Tech,False
005102,Central Piedmont C C,False
005147,Centrl Caro Comm Col,False
005127,Centrl Florida C C,False
001106,Centrl Michigan Univ,False
004090,Centrl Oregon C C,False
006130,Centrl Texas Coll,False
005141,Centrl Virginia C C,False
006388,Century College,False
004046,Chaffey Cmty College,False
000535,Chandler Gilbert Cc,False
004047,Chapman University,False
