CrsId,OrgCode,CrsCode,CrsName,CreditHours,GradeCode
155,002486,SCIE210,Environmental Science,3,T
156,002486,SSCI108,Intro Psychology,3,T
157,006000,CS101,Basic Computer Applications,3,T
158,006000,CS107,Web Page & Web Des,3,T
159,006000,HIST520,Grad Sem in U.S. History,3,T
160,006000,HIST555,U.S. in the 20th Century,3,T
161,006000,HIST588,History of Religion,3,T
162,006000,HIST532,Roman Republic&Empire,3,T
163,006000,HIST533,Late Antiquity&Byzantium,3,T
164,006000,HIST534,Medieval Europe,3,T
165,006000,HM277,Intro to Ethics,3,T
166,006000,POL510,US Pres. Congress&Bureaucracy,3,T
167,006000,POLS630,Presidentcy:Inst & Perf,3,T
168,006000,RE317,Introduction to Bible,0,T
169,006000,SS101,Microeconomics,3,T
170,006000,SS102,Macroeconomics,3,T
171,004004,ECE300,Intro Early Childhood Ed,3,T
172,004004,ECE314,Child Family Community,3,T
173,004004,ECE361,Young Child Visual Art,3,T
174,004004,ECE404,Children w/Spec Needs,3,T
175,004004,ENGWR300,College Composition,3,T
176,004004,FIN300,Financial Planning,3,T
177,004004,FITNS307,Aerobic Mix,1,T
178,004004,MGMT330,Organizational Teams,3,T
179,004004,MGMT340,Organizational Systems,3,T
180,004004,MGMT360,Management Comm,3,T
181,004004,MGMT372,Human Rel&Org Behavior,3,T
182,004004,MGMT374,Ethics in Management,3,T
183,004004,MKT300,Principles of Marketing,3,T
184,004004,NUTR1324,Nutrition -Healthy Aging,3,T
185,004004,PSYC300,General Principles,3,T
186,004004,PSYC356,Human Sexuality,3,T
187,004004,PSYC370,Human Development,3,T
188,004004,PSYC374,Psyc of Aging,3,T
189,004004,PSYC390,Psyc of Death&Dying,3,T
190,002688,MES101,Elementary Arabic I,3.33,T
191,002688,MTH202,Calculus I,3.33,T
192,002688,QMB240,Intro to Business Statistics,3.33,T
193,003003,SPAN396,Advanced Spanish,6,T
194,003003,SPAN497A,St-Span Culture,3,T
195,001015,CIS135,Computer Literacy,3,T
196,001015,CRJU150,Intro Criminal Justice,3,T
197,001015,ENGL110,Writing I,3,T
198,001015,ENGL212,Writing II,3,T
199,001015,MATH111,Math & Apps,3,T
200,001015,PSY115,General Psych,3,T
201,001016,ART105,Foundations I,3,T
202,001016,CHR105,Intro to the Bible,3,T
203,001016,CHR105,Intro to the Bible,3,T
204,001016,CHR305,Christian Worldview,3,T
205,001016,CHR105,Intro to the Bible,3,T
206,001016,CIS101,Intro to Computers,3,T
207,001016,EDU211,Educational Psych,3,T
208,001016,EDU101,Teacher Cadet,3,T
209,001016,EDU101,Teacher Cadet,3,T
210,001016,EDU507,School Law,3,T
211,001016,EDU508,School Finance,3,T
212,001016,EDU508,School Finance,3,T
213,001016,EDU509,Public School Administration,3,T
214,001016,ENG101,English Comp I,3,T
215,001016,ENG102,English Comp 2,3,T
216,001016,ENG205,World Literature I,3,T
217,001016,ENG101,English Comp I,3,T
218,001016,ENG102,English Comp II,3,T
219,001016,FA200,Experiencing Arts,3,T
220,001016,HIS111,Western Civ I,3,T
221,001016,HIS161,US History 1,3,T
222,001016,HIS161,US History I,3,T
223,001016,HS101,Intro to Social Work,3,T
224,001016,HS310,Found/Social Work,3,T
225,001016,ID101,Intro Interior Design,2,T
226,001016,ID151,Arch Draw/Graph I,3,T
227,001016,ID152,Arch Draw/Graph II,3,T
228,001016,KIN135,Lifetime Wellness,2,T
229,001016,MAT101,College Algebra,3,T
230,001016,MAT108,Intro to Prob & Stat,3,T
231,001016,MAT137,Math Elem/EC 2,3,T
232,001016,MAT101,College Algebra,3,T
233,001016,MUP120,Anderson Univ Choir,1,T
234,001016,PSY101,Intro to Psychology,3,T
235,001016,PSY205,Human Development,3,T
236,001016,PSY301,Social Psychology,3,T
237,001016,SCI107,Intro to Phys Science,4,T
238,001016,SOC101,Intro to Sociology,3,T
239,001016,SPA101,Elem Spanish 1,3,T
240,001016,SPA102,Elem Spanish 2,3,T
241,005008,ACC0201,Principles of Acc I,3,T
242,005008,ACC201,INTRO FIN ACCT,3,T
243,005008,ACC330,Intro to Taxation,3,T
244,005008,ART106,Foundations 2,3,T
245,005008,ART17,Art Appreciation,3,T
246,005008,ART22,Art Hst & Appre II,3,T
247,005008,ART110,THINK THROUGH VIS ART,3,T
248,005008,ART105,Foundations,3,T
249,005008,ART105,Foundations I,3,T
250,005008,ART106,Foundations 2,3,T
251,005008,BGY11,General Biology,4,T
252,005008,BGY12,General Biology,4,T
253,005008,BIBLE11,Old Test,3,T
254,005008,BIBLE12,New Test,3,T
255,005008,BIO101,General Bio-Botany,4,T
256,005008,BIO140/141,INTRO TO CELL BIO,4,T
257,005008,BIO104,Inq Environmental Sci,4,T
258,005008,BIO110,Principle of Biology I,4,T
259,005008,BIO150,Human Biology,4,T
260,005008,BIO160,Environmental Science,3,T
261,005008,BIO160,Intro to Environmental Science,3,T
262,005008,BUS0230,Business Statistics,3,T
263,005008,BUS230,BUSINESS STAT,3,T
264,005008,BUS230,Business Statistics,3,T
265,005008,CHE0101,Chemistry in Context,4,T
266,005008,CHR105,INTRO TO BIBLE,3,T
267,005008,CHR105,Intro to the Bible,3,T
268,005008,CHR105,INTRO TO THE BIBLE,3,T
269,005008,CHR105,Intro to the Bible,3,T
270,005008,CHR105,Intro to the Bible,3,T
271,005008,CHR105,Intro to the Bible,3,T
272,005008,CIS120,Intro Info Proc Sys,3,T
273,005008,CIS120,INTRO INFO PROC,3,T
274,005008,CIS120,Intro Info Proc Syst,3,T
275,005008,CIS120,Intro to Info Proc Sys,3,T
276,005008,COM315,Multimedia Comm,3,T
277,005008,CON305,PERSONAL FIN,3,T
278,005008,CS0120,Int Info/Process Sys,3,T
279,005008,ECO0211,Microeconomics,3,T
280,005008,ECO211,MICROECON,3,T
281,005008,ECO211,Microeconomics,3,T
282,005008,EDU0101,Teacher Cadet,3,T
283,005008,EDU0260,Health/PE Elem Teach,3,T
284,005008,EDU101,Teacher Cadet,3,T
285,005008,EDU260,Hlth & Phys Ed Tchs,3,T
286,005008,EDU526,Educational Psych,3,T
287,005008,EDU101,Teacher Cadet,3,T
288,005008,EDU110,Essentials of Teaching,1,T
289,005008,EDU111,Foundations of Education,3,T
290,005008,EDU206,Nature of Exceptional Child,3,T
291,005008,EDU211,Educational Psy,3,T
292,005008,EDU211,Educational Psych,3,T
293,005008,EDU211,Educational Psych,3,T
294,005008,EDU220,Tech 21st Cent Class,3,T
295,005008,EDU507,School Law,3,T
296,005008,EDU508,School Finance,3,T
297,005008,EDU509,Public School Admin,3,T
298,005008,ENG0101,English Comp I,3,T
299,005008,ENG0102,Eng Composition II,3,T
300,005008,ENG101,English Comp I,3,T
301,005008,ENG102,English Comp 2,3,T
302,005008,ENG11,English Comp,3,T
303,005008,ENG12,Eng Comp Lit,3,T
304,005008,ENG21,English Literature,3,T
305,005008,ENG22,American Lit,3,T
306,005008,ENG26,British Lit II,3,T
307,005008,ENG27,American Lit,3,T
308,005008,ENG101,COMP/COMM I,3,T
309,005008,ENG101,Composition & Communication I,3,T
310,005008,ENG102,COMP/COMM II,3,T
311,005008,ENG102,Composition & Communication II,3,T
312,005008,ENG219,CREATIVE INQUIRY,3,T
313,005008,ENG101,Comp & Comm,3,T
314,005008,ENG101,Composition & Comm I,3,T
315,005008,ENG101,Composition & Comm l,3,T
316,005008,ENG101,Composition &Comm I,3,T
317,005008,ENG101,Composition& Comm I,3,T
318,005008,ENG101,Composition&Comm I,3,T
319,005008,ENG101,English Comp I,3,T
320,005008,ENG102,Composition & Com II,3,T
321,005008,ENG102,Composition&Com II,3,T
322,005008,ENG102,Composition&Comm II,3,T
323,005008,ENG102,Composition&Communication,3,T
324,005008,ENG102,English Comp 2,3,T
325,005008,ENG102,English Comp II,3,T
326,005008,ENG218,Survey  World Lit,3,T
327,005008,ENGR199,FOUNDATIONS OF CP,4,T
328,005008,HIS112,Western Civ 2,3,T
329,005008,HIS201,US History I,3,T
330,005008,HIS111,Western Civ l,3,T
331,005008,HIS112,Western Civ II,3,T
332,005008,HIS161,IS History I,3,T
333,005008,HIS162,US History 2,3,T
334,005008,HIS162,US History II,3,T
335,005008,HIS181,Found Modern World,3,T
336,005008,HIS182,The Modern World,3,T
337,005008,HIST101,The World 20th Century,3,T
338,005008,HIST162,US HISTORY 2,3,T
339,005008,HTH21,Health Education,3,T
340,005008,ID101,Intro Inter Design,2,T
341,005008,ID101,Intro Inter Design,3,T
342,005008,ID151,Arch Draw/Graph I,3,T
343,005008,ID152,Arch Draw/Graph II,3,T
344,005008,ID101,Intro Inter Design,3,T
345,005008,ID151,Arch Draw/Graph I,3,T
346,005008,KIN0135,Lifetime Wellness,2,T
347,005008,KIN135,Lifetime Wellness,2,T
348,005008,KIN138,PERSON FITNESS/WELLNESS,3,T
349,005008,KIN140,INTRO TO KINESIOLOGY,3,T
350,005008,KIN119,Fitness Yoga,1,T
351,005008,KIN135,Lifetime Wellness,2,T
352,005008,KIN135,Lifetime Wellness,2,T
353,005008,MAT0113,Calculus Concepts,3,T
354,005008,MAT0114,Calculus Concepts,3,T
355,005008,MAT101,College Algebra,3,T
356,005008,MAT104,Math for Liberal Art,3,T
357,005008,MAT108,Finite Prob & Stat 1,3,T
358,005008,MAT105,College Algebra,3,T
359,005008,MAT108,Finite Prob/Stats,3,T
360,005008,MAT113,CALCULUS CON I,3,T
361,005008,MAT113,Calculus Concepts,3,T
362,005008,MAT190,ANALYTIC GEO/CALC 2,4,T
363,005008,MAT101,College Algebra,3,T
364,005008,MAT104,Math-Liberal Arts,3,T
365,005008,MAT108,FINITE PROB/STAT,3,T
366,005008,MAT108,Intro to Probability&Statistics,3,T
367,005008,MAT108,Porbability&Stats,3,T
368,005008,MAT108,Statistics,3,T
369,005008,MAT113,Calculus Concepts I,3,T
370,005008,MAT137,Math Elem/EC 2,3,T
371,005008,MGT210,PRIN OF MGT,3,T
372,005008,MTH11,College Algebra,3,T
373,005008,MUA214,Violin,2,T
374,005008,MUO1332,Flute Ensemble,1,T
375,005008,MUP130,String Ensemble,1,T
376,005008,MUS15,Music Appreciation,3,T
377,005008,MUS090,Recital Hour,0,T
378,005008,MUS1342,Piano,1,T
379,005008,MUS175,Class Piano/Mus Maj,1,T
380,005008,MUS176,Class Piano/Mus Maj,1,T
381,005008,MUT100,Fundamental Music,3,T
382,005008,PE11,Foundations of P E,1,T
383,005008,PE16,Volleyball,1,T
384,005008,PE18,Bowling,1,T
385,005008,PS101,Amer National Gov,3,T
386,005008,PSC101,Physical Science,4,T
387,005008,PSY101,Intro to Psychology,3,T
388,005008,PSY11,General Psychology,3,T
389,005008,PSY12,Child,3,T
390,005008,PSY13,Adol Growth Dev,3,T
391,005008,PSY101,Intro to Psychology,3,T
392,005008,PSY101,Intro Psychology,3,T
393,005008,PSY101,Intro to Psychology,3,T
394,005008,REL105,Intro to the Bible,3,T
395,005008,REL11,Old Test History,3,T
396,005008,REL12,New Test History,3,T
397,005008,SOC101,Intro to Sociology,3,T
398,005008,SOC13,Introductory,3,T
399,005008,SOC21,The Family,3,T
400,005008,SOC101,Intro to Sociology,3,T
401,005008,SOC101,Sociology,3,T
402,005008,SPA0131,Elem/Span/Review,5,T
403,005008,SPA131,Elem Spanish Review,5,T
404,005008,SPA131,Spanish Review,5,T
405,005008,SPE102,Public Speaking,3,T
406,005008,SPE11,Fund of Pub Speak,3,T
407,005008,SPN11,Elementary Spanish,3,T
408,005008,TRAN000,Transfer,45,T
409,005008,TRANS001,Transfer Work,4,T
410,005008,TRANS001,Transfer Work,77,T
411,005009,BIO121,General Biology,4,T
412,005009,CHE121,General Chemistry,4,T
413,005009,EDU111,Speech,3,T
414,005009,ENG111,English Comp I,3,T
415,005009,ENG112,English Comp II,3,T
416,005009,ENG121,World Literature,3,T
417,005009,HED115,Health& First Aid,3,T
418,005009,HED230,Preven/Care Ath Inj,3,T
419,005009,HED240,Sports Nutr/Fitness,3,T
420,005009,HIS101,Survey of the World,3,T
421,005009,HIS105,US History to 1865,3,T
422,005009,MAT111,College Algebra,3,T
423,005009,MAT201,Intro to Statistics,3,T
424,005009,MUS123,Music Appreciation,3,T
425,005009,PED101,Wellness,1,T
426,005009,PED110,Basic Conditioning,1,T
427,005009,PED111,Walk/Jog for Life,1,T
428,005009,PED138,Tennis,1,T
429,005009,PED188,Varsity Softball,1,T
430,005009,PED220,Intro to Physical Education,3,T
431,006025,BUSI1301,BUSINESS PRIN,3,T
432,006025,ECON2301,MACROECON,3,T
433,006025,ENGL1301,COMP I,3,T
434,006025,ENGL1302,COMP II,3,T
435,006025,GEOL1403,PHYSICAL GEOLOGY,4,T
436,006025,GOVT2305,FEDERAL GOVT,3,T
437,006025,HIST1301,US HIST I,3,T
438,006025,PHED1118,WEIGHT TRAIN,1,T
439,006025,SOCI1301,INTRO SOC,3,T
440,006025,SPCH1315,PUBLIC SPEAK,3,T
441,999901,ANHUITRANSFERCREDITS,Anhui Credit,63,T
442,999901,ELECTIVES,Transfer Electives,25,T
443,999901,GEP,Transfer GEP Courses,38,T
444,999901,TRANS,Accounting Internship,2,T
445,999901,TRANS,Accounting Principles,3,T
446,999901,TRANS,Advanced Math,3,T
447,999901,TRANS,Advanced Math (Calculus),3,T
448,999901,TRANS,Advanced Math(Calculus),3,T
449,999901,TRANS,"AIDS,Sex&Health",1,T
450,999901,TRANS,Analysis Legal Cases,1,T
451,999901,TRANS,Anatomy,2,T
452,999901,TRANS,Appreciation Film&TV,1,T
453,999901,TRANS,Appreciation of Film & TV,1,T
454,999901,TRANS,Appreciation of Film & TV,3,T
455,999901,TRANS,Appreciation of Teal Health,1,T
456,999901,TRANS,Aroma Therapy,1,T
457,999901,TRANS,Aroma Therapy Basics,1,T
458,999901,TRANS,Aromatherapy,1,T
459,999901,TRANS,Art Appreciation,3,T
460,999901,TRANS,Artistic  Aesthetics,1,T
461,999901,TRANS,Artistic Aesthetics,1,T
462,999901,TRANS,Artistic Form,1,T
463,999901,TRANS,Basic Principles of Marxism,1,T
464,999901,TRANS,Beauty&Cosmetics,1,T
465,999901,TRANS,Biochemistry,4,T
466,999901,TRANS,Biochemistry 1,4,T
467,999901,TRANS,Biochemistry l,4,T
468,999901,TRANS,Biology,3,T
469,999901,TRANS,Biology,4,T
470,999901,TRANS,Calculus,3,T
471,999901,TRANS,Calculus 1,3,T
472,999901,TRANS,Career Dev&Employ Guide,0.5,T
473,999901,TRANS,Career Dev&Employment Guidance,0.5,T
474,999901,TRANS,Career Dev&Employment Guide,0.5,T
475,999901,TRANS,Career Dev&Employmeny Guide,0.5,T
476,999901,TRANS,Career Development,0.5,T
477,999901,TRANS,CareerDev&Employment Guide,0.5,T
478,999901,TRANS,Cell Biology,4,T
479,999901,TRANS,Character & Time Mngmt,1,T
480,999901,TRANS,Chemistry,4,T
481,999901,TRANS,Chemistry & Humanity,1,T
482,999901,TRANS,Chemistry I,4,T
483,999901,TRANS,Chemistry II,4,T
484,999901,TRANS,Chinese Culture,1,T
485,999901,TRANS,Chinese Culture,2,T
486,999901,TRANS,Chinese Etiquette,1,T
487,999901,TRANS,Chinese Food Culture,1,T
488,999901,TRANS,Chinese History,3,T
489,999901,TRANS,Chinese Mod History,3,T
490,999901,TRANS,Chinese Modern History,1,T
491,999901,TRANS,Chinese Modern History,3,T
492,999901,TRANS,Chinese Modern History,1,T
493,999901,TRANS,Chinese Modern Hst,2,T
494,999901,TRANS,Chinese Poetry,1,T
495,999901,TRANS,Chinese Thought,3,T
496,999901,TRANS,Chinese&Western Culture,1,T
497,999901,TRANS,Chnese Traditional Culture,1,T
498,999901,TRANS,Clincal Application,3,T
499,999901,TRANS,Clinical Application,3,T
500,999901,TRANS,Clinical Applications,3,T
501,999901,TRANS,Clinical Applications,10,T
502,999901,TRANS,Clinical Basic Summary,7,T
503,999901,TRANS,Clinical Chemistry,4,T
504,999901,TRANS,Clinical Chm,4,T
505,999901,TRANS,Clinical Immunology,1,T
506,999901,TRANS,Clinical Medicine Therapy,7,T
507,999901,TRANS,Col Stdnt Love& Sexual Health,1,T
508,999901,TRANS,College Athletics,2,T
509,999901,TRANS,College Chinese,1.5,T
510,999901,TRANS,College Chinese,3,T
511,999901,TRANS,Compurterized Acct Internship,1,T
512,999901,TRANS,Computer Applications,3.5,T
513,999901,TRANS,Computer Apps,3.5,T
514,999901,TRANS,Computer Science,3,T
515,999901,TRANS,Computerized Accounting,3,T
516,999901,TRANS,Computerized Acct Internship,1,T
517,999901,TRANS,Creation Comic Art,1,T
518,999901,TRANS,Creation of Comic Art,1,T
519,999901,TRANS,Cytobiology,4,T
520,999901,TRANS,Dancing Basics,2,T
521,999901,TRANS,Death Ed&Hospice,1,T
522,999901,TRANS,Death Ed&Hospice Care,1,T
523,999901,TRANS,Death Education&Hopice,1,T
524,999901,TRANS,Elective,1,T
525,999901,TRANS,Elective Course,1,T
526,999901,TRANS,Emergency Medical Aid,1,T
527,999901,TRANS,Emergency Rescue,1,T
528,999901,TRANS,Endemiology,1,T
529,999901,TRANS,Endomiology,1,T
530,999901,TRANS,English,11,T
531,999901,TRANS,Ethics,5,T
532,999901,TRANS,Film Appreciation,3,T
533,999901,TRANS,Film&TV Appreciation,1,T
534,999901,TRANS,Flower Appreciation,1,T
535,999901,TRANS,Food&Safety,1,T
536,999901,TRANS,Form & Policy,1,T
537,999901,TRANS,Functional Experiment,1,T
538,999901,TRANS,General  Chemistry II,4,T
539,999901,TRANS,General Chem I,4,T
540,999901,TRANS,General Chem II,4,T
541,999901,TRANS,General Chemistry,4,T
542,999901,TRANS,General Chemistry 1,4,T
543,999901,TRANS,General Chemistry 2,4,T
544,999901,TRANS,General Chemistry I,4,T
545,999901,TRANS,General Chemistry II,4,T
546,999901,TRANS,General Chemistry l,4,T
547,999901,TRANS,General Chemistry ll,4,T
548,999901,TRANS,General Chemistry1,4,T
549,999901,TRANS,General Psychology,3,T
550,999901,TRANS,Hematology,2,T
551,999901,TRANS,Hematology,3,T
552,999901,TRANS,Histology,2,T
553,999901,TRANS,Histology & Embryology,2,T
554,999901,TRANS,Histology& Embryology,2,T
555,999901,TRANS,Histology&Embriology,2,T
556,999901,TRANS,Histology&Embryology,2,T
557,999901,TRANS,History of Medicine,1,T
558,999901,TRANS,History of the US,3,T
559,999901,TRANS,Idealogical&Moral Cultivation,3,T
560,999901,TRANS,Idealogy&Morality,1,T
561,999901,TRANS,Ideaology&Morality,1,T
562,999901,TRANS,Ideological & Moral Cul,1,T
563,999901,TRANS,Ideological & Moral Cultivation,1,T
564,999901,TRANS,Ideological Moral Cultivation,1,T
565,999901,TRANS,Ideological&Moral Cultivation,3,T
566,999901,TRANS,Ideological&Moral Cultivvation,3,T
567,999901,TRANS,Image Beauty& Film,1,T
568,999901,TRANS,Image Management,1,T
569,999901,TRANS,"Image, Beauty,Film TV",1,T
570,999901,TRANS,"Image.Beauty, Film TV",1,T
571,999901,TRANS,Immmunohematology,3,T
572,999901,TRANS,Immunohematology,3,T
573,999901,TRANS,Immunohematology,4,T
574,999901,TRANS,Immunohematology II,4,T
575,999901,TRANS,Immunology,3,T
576,999901,TRANS,Immunology,4,T
577,999901,TRANS,Immunology,4,T
578,999901,TRANS,Innovation Fnd,1,T
579,999901,TRANS,International Economics,3,T
580,999901,TRANS,International Relations,3,T
581,999901,TRANS,Interpersonal Comm,1,T
582,999901,TRANS,Intro Clinical Medicine,7,T
583,999901,TRANS,Intro to Biology,4,T
584,999901,TRANS,Intro to Computing,3,T
585,999901,TRANS,Intro to Computing,4,T
586,999901,TRANS,Intro to International Relations,3,T
587,999901,TRANS,Intro to Literary Classics,1,T
588,999901,TRANS,Intro to Literary Genres,3,T
589,999901,TRANS,Introduction to Computing,3,T
590,999901,TRANS,Introductory Biology,4,T
591,999901,TRANS,Japanese Society,1,T
592,999901,TRANS,Life Ed&Hopsice,1,T
593,999901,TRANS,Life Education&Hospice,1,T
594,999901,TRANS,Life Safety&Rescue,1,T
595,999901,TRANS,Linear Algebra,2,T
596,999901,TRANS,Macroeconomics II,3,T
597,999901,TRANS,Management Info Systems,3,T
598,999901,TRANS,Mao Zedong's Theory,1,T
599,999901,TRANS,Marketing,1,T
600,999901,TRANS,Marketing Principles,3,T
601,999901,TRANS,Marxism,1,T
602,999901,TRANS,Mechanics Lab,1,T
603,999901,TRANS,Medical Advance Math,3,T
604,999901,TRANS,Medical Advanced Math,3,T
605,999901,TRANS,Medical Ethics,1,T
606,999901,TRANS,Medical Ethics,5,T
607,999901,TRANS,Medical History,1,T
608,999901,TRANS,Medical Physiology,3,T
609,999901,TRANS,Medical Research Thinking,1,T
610,999901,TRANS,Medical ResearchThinking,1,T
611,999901,TRANS,Medical Rsch Thinking,1,T
