ARCCode,CreditType
SPN00,TR
SPAN101,EX
BAD332,TR
ENG206,TR
GEP3X,TR
SPA101,TR
SCIE101,TR
HIST202,TR
BIO305,TR
OBO101A,TR
OBO103A,TR
OBO201A,TR
OBO203A,TR
ENG393,TR
ENG392,TR
REL261,TR
SPN302,TR
SPN303,TR
SPN300,TR
SPN400,TR
SPN210,TR
SOC310,TR
BAD442,TR
BAD353,TR
BAD450,TR
ACC462,TR
ECN324,TR
ACC451,TR
HPE130,TR
HPE134,TR
ELC381,TR
CHM403,TR
EDU591,TR
GER201,TR
TRAN001,TR
VLC101,TR
VLC102,TR
CSC280H,TR
MTH112,TR
HPE120,TR
PNO113,TR
CHM203,TR
PLP805,TR
PLP860,TR
ACC201,TR
ACC202,TR
ART00,TR
ART290,TR
ART340,TR
DES324,TR
ART285,TR
ART140,TR
DES124,TR
ART125,TR
ART224,TR
ART240,TR
CSC355,TR
GEP1W,TR
CHM204,TR
CSC110,TR
ENG370,TR
GEO300,TR
HST306,TR
IDC150,TR
PSY150,TR
PSY350,TR
MA202,TR
PHY221,TR
PSY374,TR
PSY280,TR
SOC132,TR
SPA102,TR
SPA201,TR
THR102,TR
ARB101,TR
CHM310,TR
SED391,TR
MUS130,TR
THE1000,TR
EDU303,TR
ECN304,TR
FIN370,TR
PHI340,TR
ECN301,TR
SOC001,TR
ART315,TR
ECN101,TR
EN102,TR
HST421,TR
HST315,TR
SED392,TR
HPE254,TR
MATH113,TR
PSY232,TR
BAD349,TR
CHM105,TR
FIN373,TR
ART313,TR
EDU405,TR
SED505,TR
EDU555,TR
EDU574,TR
SED500,TR
BAD347,TR
BAD344,TR
MTH410,TR
MFS637,TR
ART230,TR
BIO210,TR
PSY332,TR
MEN170,TR
MUH453,TR
MUE213,TR
PNO101D,TR
PNO103D,TR
REL200,TR
DES101,TR
MTH11,TR
POL00,TR
REL305,TR
BIOL205,TR
BIOL210,TR
ENG200,TR
DAN190,TR
CHM101,TR
CHM112,TR
BIO000,TR
ENG2040,TR
PHY251,TR
ENGL102,TR
BAD260,TR
BAD401,TR
CHM160,TR
BIO106,TR
BA330,TR
VOI121,TR
VOI123,TR
FLT101A,TR
ECN302,TR
ECN325,TR
ECN327,TR
EDU525A,TR
ELE02,TR
MATH115,TR
VOI103A,TR
PSY310,TR
SPAN202,TR
GEP1B,TR
BUS150,TR
ENG320,TR
SED405,TR
JPN102,TR
JPN201,TR
JPN202,TR
CHM304,TR
HPE124,TR
ENG0101,TR
ECN210,TR
HST00,TR
HIS106,TR
HIS108,TR
MATH221,TR
MATH108,TR
PHY201,TR
PHY202,TR
PSY212,TR
PSY111,TR
GLG100,TR
HST345,TR
HPE224,TR
PLP760,TR
HST001,TR
MTH001,TR
PSY214,TR
ART241,TR
POL335,TR
BIO191L,TR
MTH107,TR
CSC125,TR
POL201,TR
PSY208,TR
BIO304,TR
FOLA201,TR
SED265,TR
MUE333,TR
MUE323,TR
EDU403,TR
BAD203,TR
ACC102,TR
DES100,TR
ASL101,TR
ASL102,TR
ASL201,TR
SED385,UG
FRLGN001,TR
SED380,TR
BAD200,TR
BIO107,TR
BIO180,TR
BIO181,TR
BIO115,TR
BIO175,TR
BIO101,TR
CS101,TR
CSC209,TR
CSC410,TR
HPE393,TR
ECN211,TR
ENG0102,TR
ENG205,TR
HST102,TR
GEP1E,UG
MAT101,TR
MAT108,TR
MTH311,TR
MAT110,TR
MATH110,TR
ACC191,TR
MUH110,UG
MUS105,TR
PHI110,TR
GEP1L,TR
PSY210,TR
PSY100,UG
SOC00,TR
SOC0101,UG
FLG001,TR
FORLA002,TR
THE1150,TR
BIOL101,TR
BIO102,TR
CRW200,TR
CRW201,TR
HIST201,TR
HST101,TR
HLTH140,TR
ENG350,TR
MATH1113,TR
MTH00,TR
PSY213,TR
PSY00,TR
REL313,TR
REL215,TR
SPAN201,TR
EDU302,TR
DES483,TR
BIO190L,TR
CHM190L,TR
GEP3C,UG
BIO100,UG
BIO210,UG
ACC211,UG
ACC212,UG
CHM201,UG
CHM201L,UG
CHM303,UG
CHM303L,UG
ENG101,UG
ENG370,UG
ENG102,UG
WST200,UG
POL102,UG
POL101,UG
GEP3B,UG
MTH113,UG
MTH210,UG
MTH220,UG
MEN150,UG
MEN160,UG
HPE150,UG
HPE126,UG
PSY380,UG
PSY311,UG
PSY231,UG
REL104,UG
SPN101,UG
SPN201,UG
SPN202,UG
SPN102,UG
THR100,UG
THR201,UG
THR221,UG
THR204,UG
PHY199H,TR
HIS201,TR
ART0101,TR
HPE00,TR
GEP1W,EX
POL100,TR
DES284,TR
DES285,TR
DES289,TR
DES384,TR
DES288,TR
PHY241L,TR
PHY242L,TR
MIL302,TR
ECO202,TR
HST319,TR
MTH480,TR
SED353,TR
SED350,TR
VLN103A,TR
HST259,TR
VLC103A,TR
ART300,TR
CHM102,TR
CHM402,TR
CSC203,TR
EDU361,TR
EDU300,TR
EDU409,TR
LAT101,TR
LAT102,TR
ART200,TR
SOC309,TR
ACC351,TR
ENG397,TR
PHI401,TR
REL306,TR
EDU604,TR
EDU378,TR
PSY580,TR
EDU612,TR
EDU613,TR
EDU614,TR
EDU522,TR
EDU516,TR
FREN102,TR
FREN201,TR
HST352,TR
SOC111,TR
ENG1102,TR
BIO 112,UG
BIO211L,TR
BIO205L,TR
BIO211,UG
ENG100,UG
GEP2,UG
THR120,UG
SANTW102,TR
BIO104,TR
BIO140,TR
CHM251,TR
CSC202,TR
ENGLU101,TR
ENG300,TR
FRN202,TR
HST318,TR
HST188,TR
MTH205,TR
BAD443,TR
MUH113,TR
BIO201,TR
CHN101W,TR
CHN102W,TR
CSC126,TR
MTH106,TR
SOC302,TR
SPA202,TR
PHS100,TR
MTH103,TR
HPE156,TR
ENG380,TR
PHI125,TR
SPN304,TR
EDU592,TR
MUA113,TR
MUA211,TR
ACC452,TR
ENG100,TR
IDC151,TR
