CrsId,ArcCode,CreditType,TYear,TTerm
241,ELE00,TR,TR,TR
242,ELE00,TR,TR,TR
243,,TR,0,TR
244,,TR,0,TR
245,,TR,0,TR
246,,TR,0,TR
247,,TR,0,TR
248,BIO191,TR,TR,TR
249,ENV101,TR,TR,TR
250,BIO190,TR,TR,TR
251,BIO105,TR,TR,TR
252,GEP3,TR,TR,TR
253,GEP1J,TR,TR,TR
254,,TR,0,TR
255,BAD300,TR,TR,TR
256,ECN300,TR,TR,TR
257,,TR,0,TR
258,GEP1F,TR,TR,TR
259,ELE00,TR,TR,TR
260,GEP1G,TR,TR,TR
261,REL100,TR,TR,TR
262,,TR,0,TR
263,ELE00,TR,TR,TR
264,CSC101,TR,TR,TR
265,,TR,0,TR
266,ELE00,TR,TR,TR
267,,TR,0,TR
268,,TR,0,TR
269,ECN201,TR,TR,TR
270,,TR,0,TR
271,,TR,0,TR
272,,TR,0,TR
273,,TR,0,TR
274,,TR,0,TR
275,,TR,TR,TR
276,,TR,TR,TR
277,EDU360,TR,TR,TR
278,SED300,TR,TR,TR
279,,TR,TR,TR
280,ELE00,TR,TR,TR
281,PSY233,TR,TR,TR
282,EDU203,TR,TR,TR
283,,TR,TR,TR
284,,TR,TR,TR
285,,TR,TR,TR
286,,TR,0,TR
287,,TR,0,TR
288,,TR,0,TR
289,,TR,0,TR
290,,TR,0,TR
291,,TR,0,TR
292,,TR,0,TR
293,,TR,0,TR
294,,TR,0,TR
295,,TR,0,TR
296,ENG101,TR,TR,TR
297,ENG102,TR,TR,TR
298,ELE00,TR,TR,TR
299,ENG101,TR,TR,TR
300,ELE00,TR,TR,TR
301,ENG305,TR,TR,TR
302,ELE00,TR,TR,TR
303,,TR,0,TR
304,,TR,0,TR
305,GEP1E,TR,TR,TR
306,ELE00,TR,TR,TR
307,GEP1E,TR,TR,TR
308,HST202,TR,TR,TR
309,GEP1F,TR,TR,TR
310,HST100,TR,TR,TR
311,,TR,0,TR
312,GEP1E,TR,TR,TR
313,,TR,0,TR
314,,TR,0,TR
315,,TR,0,TR
316,,TR,0,TR
317,DES282,TR,TR,TR
318,ELE00,TR,TR,TR
319,,TR,0,TR
320,,TR,0,TR
321,HPE255,TR,TR,TR
322,ELE00,TR,TR,TR
323,HPE153,TR,TR,TR
324,HPE255,TR,TR,TR
325,HPE256,TR,TR,TR
326,,TR,0,TR
327,,TR,0,TR
328,,TR,0,TR
329,,TR,0,TR
330,,TR,0,TR
331,ELE00,TR,TR,TR
332,MTH113,TR,TR,TR
333,MTH120,TR,TR,TR
334,MTH115,TR,TR,TR
335,MTH210,TR,TR,TR
336,GEP2,TR,TR,TR
337,MTH108,TR,TR,TR
338,,TR,TR,TR
339,BAD330,TR,TR,TR
340,,TR,0,TR
341,ELE00,TR,TR,TR
342,ELE00,TR,TR,TR
343,ELE00,TR,TR,TR
344,,TR,0,TR
345,ELE00,TR,TR,TR
346,ELE00,TR,TR,TR
347,ELE00,TR,TR,TR
348,ELE00,TR,TR,TR
349,ELE00,TR,TR,TR
350,,TR,0,TR
351,,TR,0,TR
352,,TR,0,TR
353,,TR,0,TR
354,,TR,0,TR
355,,TR,0,TR
356,,TR,0,TR
357,,TR,0,TR
358,,TR,0,TR
359,PSY100,TR,TR,TR
360,,TR,0,TR
361,,TR,0,TR
362,,TR,0,TR
363,,TR,0,TR
364,,TR,0,TR
365,,TR,0,TR
366,SOC100,TR,TR,TR
367,,TR,0,TR
368,,TR,0,TR
369,ELE00,TR,TR,TR
370,,TR,0,TR
371,,TR,0,TR
372,,TR,0,TR
373,,TR,0,TR
374,,TR,0,TR
375,BIO100,TR,TR,TR
376,CHM150,TR,TR,TR
377,THR120,TR,TR,TR
378,ENG101,TR,TR,TR
379,ENG102,TR,TR,TR
380,ENG305,TR,TR,TR
381,HPE180,TR,TR,TR
382,HPE195,TR,TR,TR
383,HPE255,TR,TR,TR
384,ELE00,TR,TR,TR
385,HST201,TR,TR,TR
386,GEP2,TR,TR,TR
387,MTH113,TR,TR,TR
388,MUH110,TR,TR,TR
389,ELE00,TR,TR,TR
390,HPE152,TR,TR,TR
391,ELE00,TR,TR,TR
392,HPE126,TR,TR,TR
393,ELE00,TR,TR,TR
394,ELE00,TR,TR,TR
395,ELE00,TR,TR,TR
396,ECN202,TR,TR,TR
397,ENG101,TR,TR,TR
398,ENG102,TR,TR,TR
399,GEP3,TR,TR,TR
400,POL101,TR,TR,TR
401,GEP1E,TR,TR,TR
402,HPE154,TR,TR,TR
403,SOC100,TR,TR,TR
404,THR120,TR,TR,TR
405,TRAN000,TR,TR,TR
406,,TR,TR,TR
407,,TR,TR,TR
408,,TR,TR,TR
409,GEP1E,TR,TR,TR
410,BIO350,TR,TR,TR
411,,TR,TR,TR
412,,TR,TR,TR
413,,TR,TR,TR
414,,TR,TR,TR
415,,TR,TR,TR
416,,TR,0,TR
417,,TR,0,TR
418,,TR,0,TR
419,,TR,0,TR
420,,TR,0,TR
421,,TR,0,TR
422,,TR,0,TR
423,SED395,TR,TR,TR
424,SED390,TR,TR,TR
425,,TR,0,TR
426,ENG101,TR,TR,TR
427,ENG101,TR,TR,TR
428,,TR,0,TR
429,,TR,0,TR
430,,TR,0,TR
431,,TR,0,TR
432,PSY100,TR,TR,TR
433,,TR,0,TR
434,SOC100,TR,TR,TR
435,,TR,0,TR
436,SPN101,TR,TR,TR
437,ACC211,TR,TR,TR
438,ACC212,TR,TR,TR
439,ELE00,TR,TR,TR
440,ELE00,TR,TR,TR
441,ELE00,TR,TR,TR
442,,TR,0,TR
443,,TR,0,TR
444,DAN110,TR,TR,TR
445,ECN150,TR,TR,TR
446,ECN202,TR,TR,TR
447,ENG101,TR,TR,TR
448,ENG102,TR,TR,TR
449,EL110,TR,TR,TR
450,PSY380,TR,TR,TR
451,EDU305,TR,TR,TR
452,ELE00,TR,TR,TR
453,SOC306,TR,TR,TR
454,ELE00,TR,TR,TR
455,ELE00,TR,TR,TR
456,MUT102,TR,TR,TR
457,ELE00,TR,TR,TR
458,ELE00,TR,TR,TR
459,MUA102,TR,TR,TR
460,ELE00,TR,TR,TR
461,ELE00,TR,TR,TR
462,ELE00,TR,TR,TR
463,MEN150,TR,TR,TR
464,MUH100,TR,TR,TR
465,MTY151,TR,TR,TR
466,MTY250,TR,TR,TR
467,MTY381,TR,TR,TR
468,GEP1O,TR,TR,TR
469,PSY204,TR,TR,TR
470,ENG291,TR,TR,TR
471,GEP1N,TR,TR,TR
472,,TR,0,TR
473,,TR,0,TR
474,ELE00,TR,TR,TR
475,EDU621,TR,TR,TR
476,ELE00,TR,TR,TR
477,ELE00,TR,TR,TR
478,BIO110,TR,TR,TR
479,,TR,0,TR
480,ART126,TR,TR,TR
481,BIO190,TR,TR,TR
482,BIO202,TR,TR,TR
483,BIO203,TR,TR,TR
484,CHM190,TR,TR,TR
485,THR120,TR,TR,TR
486,ENG101,TR,TR,TR
487,ENG102,TR,TR,TR
488,GEP3A,TR,TR,TR
489,GEP1E,TR,TR,TR
490,MTH110,TR,TR,TR
491,ELE00,TR,TR,TR
492,SOC100,TR,TR,TR
493,,TR,0,TR
494,SPN101,TR,TR,TR
495,,TR,0,TR
496,BIO100,TR,TR,TR
497,,TR,0,TR
498,,TR,0,TR
499,,TR,0,TR
500,,TR,0,TR
501,,TR,0,TR
502,,TR,0,TR
503,,TR,0,TR
504,,TR,0,TR
505,,TR,0,TR
506,,TR,0,TR
507,ART113,TR,TR,TR
508,ART111,TR,TR,TR
509,,TR,TR,TR
510,,TR,TR,TR
511,THR120,TR,TR,TR
512,ENG101,TR,TR,TR
513,ENG102,TR,TR,TR
514,ELE00,TR,TR,TR
515,,TR,0,TR
516,,TR,0,TR
517,ART201,TR,TR,TR
518,ART201,TR,TR,TR
519,ART305,TR,TR,TR
520,ELE00,TR,TR,TR
521,ELE00,TR,TR,TR
522,ELE00,TR,TR,TR
523,ELE00,TR,TR,TR
524,ELE00,TR,TR,TR
525,MTH108,TR,TR,TR
526,,TR,0,TR
527,,TR,0,TR
528,,TR,0,TR
529,ELE00,TR,TR,TR
530,,TR,0,TR
531,PSY100,TR,TR,TR
532,ART113,TR,TR,TR
